iter	Passed	Remaining
924	28454	33069
925	28486	33039
926	28518	33010
927	28550	32980
928	28581	32949
929	28611	32919
930	28639	32884
931	28669	32852
932	28699	32821
933	28740	32802
934	28770	32771
935	28800	32738
936	28831	32708
937	28861	32676
938	28889	32642
939	28919	32611
940	28952	32583
941	28986	32555
942	29019	32527
943	29050	32497
944	29080	32465
945	29110	32433
946	29139	32400
947	29170	32370
948	29201	32340
949	29231	32308
950	29261	32276
951	29291	32245
952	29325	32218
953	29356	32188
954	29390	32160
955	29419	32127
956	29449	32096
957	29481	32066
958	29513	32037
959	29547	32009
960	29578	31979
961	29611	31951
962	29642	31920
963	29674	31890
964	29707	31862
965	29737	31831
966	29768	31800
967	29799	31769
968	29831	31739
969	29861	31708
970	29894	31680
971	29925	31649
972	29956	31618
973	29987	31588
974	30014	31554
975	30044	31521
976	30073	31489
977	30103	31457
978	30138	31431
979	30171	31403
980	30204	31374
981	30235	31344
982	30267	31314
983	30298	31283
984	30328	31252
985	30359	31222
986	30390	31191
987	30423	31162
988	30455	31132
989	30484	31100
990	30518	31072
991	30549	31042
992	30580	31011
993	30612	30982
994	30642	30950
995	30673	30919
996	30704	30889
997	30737	30860
998	30767	30828
999	30797	30797
1000	30827	30765
1001	30857	30734
1002	30887	30702
1003	30917	30670
1004	30947	30639
1005	30976	30606
1006	31005	30574
1007	31037	30544
1008	31070	30516
1009	31103	30487
1010	31137	30459
1011	31167	30428
1012	31197	30397
1013	31227	30365
1014	31258	30334
1015	31286	30300
1016	31317	30270
1017	31348	30239
1018	31382	30212
1019	31415	30183
1020	31446	30152
1021	31479	30123
1022	31508	30091
1023	31537	30059
1024	31566	30026
1025	31596	29995
1026	31628	29965
1027	31661	29936
1028	31692	29906
1029	31723	29875
1030	31754	29844
1031	31784	29813
1032	31814	29781
1033	31844	29750
1034	31876	29720
1035	31908	29690
1036	31937	29658
1037	31965	29625
1038	31994	29592
1039	32026	29562
1040	32057	29532
1041	32091	29504
1042	32124	29476
1043	32155	29445
1044	32188	29416
1045	32220	29386
1046	32249	29354
1047	32279	29322
1048	32309	29290
1049	32340	29260
1050	32372	29230
1051	32402	29198
1052	32433	29168
1053	32463	29136
1054	32493	29105
1055	32524	29075
1056	32556	29045
1057	32588	29015
1058	32623	28987
1059	32655	28959
1060	32686	28927
1061	32717	28897
1062	32752	28869
1063	32780	28836
1064	32808	28803
1065	32838	28772
1066	32870	28742
1067	32903	28713
1068	32934	28683
1069	32966	28653
1070	32997	28622
1071	33027	28591
1072	33056	28558
1073	33088	28529
1074	33120	28499
1075	33149	28467
1076	33184	28439
1077	33214	28407
1078	33245	28377
1079	33274	28345
1080	33303	28312
1081	33335	28283
1082	33371	28255
1083	33406	28229
1084	33436	28197
1085	33467	28166
1086	33500	28137
1087	33530	28106
1088	33559	28073
1089	33589	28042
1090	33624	28015
1091	33658	27987
1092	33692	27958
1093	33727	27931
1094	33758	27901
1095	33788	27869
1096	33820	27839
1097	33852	27809
1098	33880	27776
1099	33911	27745
1100	33944	27717
1101	33976	27686
1102	34008	27656
1103	34041	27627
1104	34073	27597
1105	34109	27571
1106	34145	27544
1107	34177	27514
1108	34209	27484
1109	34242	27455
1110	34273	27424
1111	34304	27394
1112	34336	27364
1113	34366	27332
1114	34394	27299
1115	34424	27267
1116	34455	27237
1117	34486	27206
1118	34517	27175
1119	34547	27144
1120	34578	27113
1121	34608	27082
1122	34638	27051
1123	34670	27020
1124	34705	26993
1125	34738	26963
1126	34769	26933
1127	34799	26901
1128	34828	26869
1129	34858	26838
1130	34889	26807
1131	34924	26779
1132	34958	26750
1133	34990	26721
1134	35022	26691
1135	35052	26659
1136	35085	26630
1137	35115	26598
1138	35144	26566
1139	35176	26536
1140	35206	26505
1141	35238	26474
1142	35270	26444
1143	35302	26415
1144	35334	26384
1145	35366	26354
1146	35397	26324
1147	35427	26292
1148	35459	26262
1149	35490	26231
1150	35518	26199
1151	35549	26168
1152	35581	26138
1153	35613	26108
1154	35645	26078
1155	35674	26045
1156	35703	26013
1157	35733	25982
1158	35764	25951
1159	35796	25921
1160	35829	25892
1161	35860	25861
1162	35889	25829
1163	35921	25799
1164	35950	25767
1165	35982	25736
1166	36013	25706
1167	36046	25677
1168	36080	25648
1169	36112	25618
1170	36143	25587
1171	36174	25556
1172	36205	25526
1173	36236	25495
1174	36267	25464
1175	36299	25434
1176	36329	25402
1177	36361	25373
1178	36391	25341
1179	36420	25308
1180	36446	25274
1181	36478	25245
1182	36508	25213
1183	36540	25183
1184	36573	25153
1185	36605	25123
1186	36637	25093
1187	36668	25063
1188	36701	25033
1189	36732	25002
1190	36762	24971
1191	36797	24943
1192	36832	24914
1193	36865	24885
1194	36895	24854
1195	36927	24824
1196	36957	24792
1197	36989	24762
1198	37021	24732
1199	37050	24700
1200	37081	24669
1201	37113	24639
1202	37144	24608
1203	37177	24579
1204	37216	24553
1205	37261	24531
1206	37303	24508
1207	37344	24483
1208	37376	24454
1209	37407	24423
1210	37438	24392
1211	37472	24363
1212	37504	24333
1213	37537	24303
1214	37567	24272
1215	37599	24242
1216	37632	24212
1217	37665	24182
1218	37697	24152
1219	37732	24124
1220	37764	24093
1221	37797	24063
1222	37827	24032
1223	37857	24001
1224	37888	23970
1225	37919	23939
1226	37950	23908
1227	37982	23878
1228	38015	23848
1229	38048	23819
1230	38080	23788
1231	38112	23758
1232	38144	23728
1233	38177	23698
1234	38208	23667
1235	38241	23638
1236	38272	23607
1237	38306	23578
1238	38338	23547
1239	38370	23517
1240	38401	23486
1241	38430	23454
1242	38462	23424
1243	38494	23393
1244	38524	23362
1245	38557	23332
1246	38592	23303
1247	38626	23274
1248	38658	23244
1249	38692	23215
1250	38722	23183
1251	38755	23154
1252	38788	23124
1253	38821	23095
1254	38854	23064
1255	38885	23034
1256	38918	23004
1257	38952	22974
1258	38987	22946
1259	39019	22916
1260	39053	22887
1261	39089	22859
1262	39122	22829
1263	39154	22798
1264	39184	22767
1265	39216	22737
1266	39249	22706
1267	39280	22676
1268	39313	22646
1269	39346	22616
1270	39377	22585
1271	39410	22555
1272	39440	22523
1273	39470	22492
1274	39503	22463
1275	39535	22432
1276	39569	22402
1277	39601	22372
1278	39632	22341
1279	39666	22312
1280	39699	22282
1281	39732	22252
1282	39765	22222
1283	39799	22193
1284	39829	22162
1285	39859	22130
1286	39891	22100
1287	39922	22069
